"","dupcheck","Response ID","Zip Code:","Square footage of space occupied:","Total square footage of building (including other occupants, where applicable):","Staff Population","Approximate number of visitors per year:","Trash (lbs)","Recycling: Single Stream Actual Weight (in Pounds)","Recycling: Dual stream (Paper, including cardboard) Actual Weight (in Pounds)","Organics (lbs)","Total MSW","Recycling (lbs)","MSW Recycling Rate Numerator (Organics + Recycling):","MSW Recycling Rate Denominator (Trash + Organics + Recycling):","MSW Recycling Rate (%)","Total Recycling Rate Numerator (Organics + Recycling + Specialty Recycling):","Total Recycling Rate Denominator (Trash + Organics + Recycling + Specialty Recycling):","Total Recycling Rate (%)","Total Staff:","Total Population","Waste Per Capita (lbs per staff)","Waste Per Capita Including Non-Staff (lbs per staff)","Waste Per Capita (including staff, resident and visitor)","Auto Oil Actual Weight (in Pounds)","Fluorescents Actual Weight (in Pounds)","Wood Waste (mfg. waste, chips, or pallets) Actual Weight (in Pounds)","Specialty Waste (lbs)"
"1","11334-43101",1457393,110213,39206,68412,48,5000,1181,243,0,0,1424,243,243,1424,22.84,243,1424,22.84,48,5048,96.74,96.74,72.21,0,0,0,0
"2","11334-43132",1457395,110213,39206,68412,48,5000,2380,824,0,0,3204,824,824,3204,28.77,824,3204,28.77,48,5048,134.6,134.6,68.57,0,0,0,0
"3","11334-43160",1457397,110213,39206,68412,48,5000,1440,481,0,0,1921,481,481,1921,29.67,481,1921,29.67,48,5048,97.7,97.7,60.32,0,0,0,0
"4","11334-43191",1527820,110213,39206,68412,48,5000,1361,322,0,0,1683,322,322,1683,20.88,322,1683,20.88,48,5048,64.06,64.06,28.51,0,0,0,0
"5","11334-43221",1527822,110213,39206,68412,48,5000,1720,980,0,0,2700,980,980,2700,46.23,4900,6620,133.34,48,5048,949.3,949.3,900.42,0,0,3920,3920
"6","11334-43252",1527825,110213,39206,68412,48,5000,3540,801,0,0,4341,801,801,4341,21.3,801,4341,21.3,48,5048,203.47,203.47,116.75,0,0,0,0
"7","11334-43282",1581731,110213,39206,68412,48,5000,2600,301,0,0,2901,301,301,2901,12.43,301,2901,12.43,48,5048,152.3,152.3,96.48,0,0,0,0
"8","11334-43313",1581734,110213,39206,68412,48,5000,4840,601,180,0,5621,781,781,5621,14.62,781,5621,14.62,48,5048,180.21,180.21,57.06,0,0,0,0
"9","11334-43344",1581737,110213,39206,68412,48,5000,2780,181,0,0,2961,181,181,2961,7.3,181,2961,7.3,48,5048,153.7,153.7,96.49,0,0,0,0
"10","11334-43374",1689329,110213,39206,68412,48,5000,1340,601,0,0,1941,601,601,1941,36.18,5868,7208,84.7,48,5048,217.12,217.12,57.37,5267,0,0,5267
"11","11334-43405",1689331,110213,39206,68412,48,5000,1080,262,0,0,1342,262,262,1342,22.55,262,1342,22.55,48,5048,63.02,63.02,36.23,0,0,0,0
"12","11334-43435",1689333,110213,39206,68412,48,5000,1760,142,0,0,1902,142,142,1902,9.09,142,1902,9.09,48,5048,104.33,104.33,68.31,0,0,0,0
"13","15524-43101",1666390,0,0,0,0,0,1968.75,1172.81,0,0,3141.56,1172.81,1172.81,3141.56,74.66,1172.81,3141.56,74.66,0,0,0,0,0,0,0,0,0
"14","15524-43132",1666392,0,0,0,0,0,1968.75,1172.81,0,0,3141.56,1172.81,1172.81,3141.56,74.66,1172.81,3141.56,74.66,0,0,0,0,0,0,0,0,0
"15","15524-43160",1666395,0,0,0,0,0,1968.75,1172.81,0,0,3141.56,1172.81,1172.81,3141.56,74.66,1172.81,3141.56,74.66,0,0,0,0,0,0,0,0,0
"16","15524-43191",1666397,0,0,0,0,0,1968.75,1172.81,0,0,3141.56,1172.81,1172.81,3141.56,74.66,1172.81,3141.56,74.66,0,0,0,0,0,0,0,0,0
"17","15524-43221",1666400,0,0,0,0,0,1968.75,1172.81,0,0,3141.56,1172.81,1172.81,3141.56,74.66,1172.81,3141.56,74.66,0,0,0,0,0,0,0,0,0
"18","15524-43252",1666403,0,0,0,0,0,1968.75,1172.81,0,0,3141.56,1172.81,1172.81,3141.56,74.66,1172.81,3141.56,74.66,0,0,0,0,0,0,0,0,0
"19","15524-43282",1720476,0,0,0,0,0,1968.75,1172.81,0,0,3141.56,1172.81,1172.81,3141.56,74.66,1172.81,3141.56,74.66,0,0,0,0,0,0,0,0,0
"20","15524-43313",1720480,0,0,0,0,0,1968.75,1172.81,0,0,3141.56,1172.81,1172.81,3141.56,74.66,1172.81,3141.56,74.66,0,0,0,0,0,0,0,0,0
"21","15524-43344",1720483,0,0,0,0,0,1968.75,1172.81,0,0,3141.56,1172.81,1172.81,3141.56,74.66,1172.81,3141.56,74.66,0,0,0,0,0,0,0,0,0
"22","15524-43374",1720487,0,0,0,0,0,1968.75,1172.81,0,0,3141.56,1172.81,1172.81,3141.56,74.66,1172.81,3141.56,74.66,0,0,0,0,0,0,0,0,0
"23","15524-43405",1720493,0,0,0,0,0,1968.75,1172.81,0,0,3141.56,1172.81,1172.81,3141.56,74.66,1172.81,3141.56,74.66,0,0,0,0,0,0,0,0,0
"24","15524-43435",1720496,0,0,0,0,0,1968.75,1172.81,0,0,3141.56,1172.81,1172.81,3141.56,74.66,1172.81,3141.56,74.66,0,0,0,0,0,0,0,0,0
"25","15578-43101",1634407,55802,5396,151000,27,0,1876.7,329.16,405.61,0,2611.47,734.77,734.77,2611.47,55.95,734.77,2611.47,55.95,27,27,49.87,49.87,49.87,0,0,0,0
"26","15578-43132",1634420,55802,5396,151000,27,0,1595.35,329.16,387.85,0,2312.36,717.01,717.01,2312.36,61.5,717.01,2312.36,61.5,27,27,45.51,45.51,45.51,0,0,0,0
"27","15578-43160",1634426,55802,5396,151000,27,0,1684.25,329.16,387.85,0,2401.26,717.01,717.01,2401.26,59.15,717.01,2401.26,59.15,27,27,49.21,49.21,49.21,0,0,0,0
"28","15578-43191",1726152,55802,18532,151000,58,0,1187.57,1289.24,0,241.5,2718.31,1289.24,1530.74,2718.31,109.46,1530.74,2718.31,109.46,58,58,24.58,24.58,24.58,0,0,0,0
"29","15578-43282",1726167,55802,18532,151000,58,0,1178.43,1850.24,0,620,3648.67,1850.24,2470.24,3648.67,115.12,2608.49,3786.92,115.51,58,58,42.86,42.86,42.86,0,138.25,0,138.25
"30","15578-43374",1726175,55802,18532,151000,58,0,1457.1,1609.74,0,219,3285.84,1609.74,1828.74,3285.84,103.41,1828.74,3285.84,103.41,58,58,31.86,31.86,31.86,0,0,0,0
"31","15578-43435",1771366,55802,18532,151000,58,0,1211.66,1609.74,0,219,3040.4,1609.74,1828.74,3040.4,107.55,1828.74,3040.4,107.55,58,58,31.86,31.86,31.86,0,0,0,0
"32","15579-43101",1596240,56601,17747,0,62,0,4592,3002.43,0,0,7594.43,3002.43,3002.43,7594.43,39.53,3002.43,7594.43,39.53,62,62,0,0,0,0,0,0,0
"33","15579-43132",1596242,56601,17747,0,62,0,4592,3002.43,0,0,7594.43,3002.43,3002.43,7594.43,39.53,3002.43,7594.43,39.53,62,62,0,0,0,0,0,0,0
"34","15579-43160",1596244,56601,17747,0,62,0,4592,3002.43,0,0,7594.43,3002.43,3002.43,7594.43,39.53,3002.43,7594.43,39.53,62,62,0,0,0,0,0,0,0
